"","business_id","stars","category","word"
"35","CZzRtq0HQKwbBaJJi-Xpnw",3,"Restaurants, Chinese","beef"
"36","QiZCMGZEwVtg1ybOKybLhQ",1,"Chinese, Vietnamese, Japanese, Restaurants","beef"
"37","VGxJbglGlx-a7Gdc55Q6jQ",4,"Restaurants, Japanese, Sushi Bars, Chinese, Steakhouses","beef"
"38","asCPMMAA1wW3GJvrPA4fTA",1,"Restaurants, Chinese","beef"
"39","3e0IGa_-zqTemKLc1dbdmg",3,"Restaurants, Taiwanese, Chinese","beef"
"40","aHVhlCvmlNnnPf-LgclNNA",5,"Chinese, Restaurants","beef"
"41","Ks7EuyQVI2JEif4Xp70MmA",5,"Chinese, Restaurants","beef"
"42","GeeR1ScER2WpFoJs1sTjsA",1,"Fast Food, Chinese, Restaurants","beef"
"43","PXKjfPxjJSykV3vN8GAoBQ",2,"Chinese, Restaurants","beef"
"44","EGJb8zZPlAfRzj9rg2KwqQ",5,"Restaurants, Buffets, Chinese, Italian","beef"
"45","D2eZD_MP8Ds32rkoVI_MBQ",1,"Restaurants, Chinese","beef"
"46","izOvku5li7kyzY76UzLP2g",3,"Chinese, Restaurants","beef"
"47","lWk3vNrOIFTbUwEZBkY2wg",2,"Restaurants, Chinese","beef"
"48","rf8x3ZTUwzmRUyJgoIZllQ",4,"Chinese, Restaurants","beef"
"49","uKyyrg9nwitkBqaHvR72tA",1,"Chinese, Restaurants","beef"
"50","G4JLnk8TkeAhZ71V4Pof8A",5,"Fast Food, Restaurants, Chinese","beef"
"51","1SJiW_mW6IlEe7hqMTnjYg",3,"Restaurants, Chinese","beef"
"52","gz87Wa7QUZ3gNlgE9NVPAA",5,"Restaurants, Chinese","beef"
"53","P3dBcZh_Hmr1wVWFZn2b-g",5,"Chinese, Restaurants","beef"
"54","w4MypAX8UIaJq-mhCZBq2A",1,"Chinese, Restaurants","beef"
"55","WTluJrwTxVxZkXovV6cnnQ",4,"Restaurants, Chinese, Fast Food","beef"
"56","SWDEdiv_v1QppobT1YnEPA",1,"Restaurants, Chinese","beef"
"57","eZaaYA5X3BmMTPWsOBvq8g",4,"Japanese, Restaurants, Chinese, Hot Pot, Korean","beef"
"58","riXr33UJRQXVMKJcNZPqqw",3,"Seafood, Soup, Chinese, Restaurants","beef"
"59","ba2xyZXG8hRb3hh7uDZs_g",1,"Buffets, Japanese, Sushi Bars, Chinese, Restaurants","beef"
"60","nZRJu778hO66F11QUS53nA",5,"Chinese, Restaurants","beef"
"61","i4CF-bIEfNeYoQ87klS78Q",1,"Chinese, Restaurants, Japanese","beef"
"62","dazGlP4Rk4nxlyMtlvkpvA",4,"Asian Fusion, Chinese, Restaurants","beef"
"63","h0kDxnRpBXyJ1v17uSDnzw",1,"Seafood, Chinese, Restaurants, Soup","beef"
"64","S6dARuOrrOXd4xSiTHti8g",4,"Soup, Chinese, Restaurants, Seafood","beef"
"65","ZWbJlxV7sdxBBgyw_-4vVg",5,"Restaurants, Chinese","beef"
"66","MA465c4XL7_m9p_6_ztRsw",4,"Vietnamese, Chinese, Restaurants","beef"
"67","QdganL5AW9E_fNoRVroLig",4,"Thai, Chinese, Restaurants","beef"
"68","15RvAvPxUBl3HmnGMJdtTQ",5,"Asian Fusion, Restaurants, Chinese, Cocktail Bars, Bars, Sushi Bars, Nightlife","beef"
"69","eab04KSBbf30FqB4cH8erQ",4,"Taiwanese, Restaurants, Japanese, Asian Fusion, Chinese","beef"
"70","wftmt-n8OUA4Ng3bWWH5dw",2,"Chinese, Restaurants, Barbeque, Cantonese","beef"
"71","BQasaL9XWUhlFndmKYtMHw",4,"Restaurants, Vietnamese, Chinese","beef"
"72","70nmPKnAufzeKfRNVE0-Pg",1,"Fast Food, Restaurants, Chinese","beef"
"73","g74ClehJVU5h-29-Bx5xwQ",3,"Restaurants, Chinese","beef"
"74","OaHJvi10dJbMIaQXg5e2Ag",5,"Vietnamese, Chinese, Restaurants","beef"
"75","ijY4C4ut4M9xg3QvK2R2pg",4,"Dim Sum, Chinese, Cantonese, Restaurants","beef"
"76","JJi7c7uiTzCqeWNTsldgXQ",5,"Restaurants, Chinese, Sushi Bars","beef"
"77","jKJr7aPdTZ5kiQw0g40yJQ",1,"Chinese, Restaurants","beef"
"78","pFg0ZuTVVZMZpANZXI0LtA",5,"Vietnamese, Restaurants, Chinese","beef"
"79","aC9D8lFr5k9pWU0IBdEb0g",1,"Restaurants, Chinese","beef"
"80","BrORoLCE5zVY6ekUb6omNA",3,"Food, Restaurants, Asian Fusion, Japanese, Bubble Tea, Ramen, Noodles, Chinese","beef"
"81","FNf9Q2FnB9sI9kOMAgj0AQ",4,"Restaurants, Chinese, Szechuan","beef"
"82","wCB9mquz6W0ZuO5pPZXeDg",5,"Chinese, Restaurants, Szechuan","beef"
"83","KzLjbXEDH1e1WrfzrrzZKw",4,"Cantonese, Chinese, Restaurants","beef"
"84","lSxAQR1FeSljX9zeVJTEWA",4,"Restaurants, Chinese","beef"
"85","xXGRRmCIf6t6Bn-NvxHYwA",1,"Seafood, Chinese, Restaurants, Asian Fusion","beef"
"86","yBHltbm3DqNaKgBgTMpxsA",4,"Chinese, Restaurants","beef"
"87","mpG1R1ktTI3x1twNBsGvXQ",5,"Sushi Bars, Restaurants, Chinese, Asian Fusion, Japanese","beef"
"88","tIby_wfzpZ5QH02IWFNogg",5,"Chinese, Arts & Entertainment, Restaurants, Food, Social Clubs, Bubble Tea, Taiwanese","beef"
"89","E4HlcOykIxIDiJyUKO-eIg",5,"Chinese, Restaurants","beef"
"90","rXKzE4Iraz7vGWovWW-aBA",3,"Restaurants, Bars, Japanese, Cocktail Bars, Korean, Izakaya, Nightlife, Ramen, Chinese, Venues & Event Spaces, Event Planning & Services","beef"
"91","hMgIF04rrJ7oB1lGIpFt5w",4,"Restaurants, Chinese","beef"
"92","jhP9rUsV-KvgHu1n--7Q3w",1,"Restaurants, Chinese","beef"
"93","rQ6C54q1N2iq9iDKSA3QGA",5,"Restaurants, Chinese, Sushi Bars","beef"
"94","ccdcyzc1oSucd-qRlnYR0w",2,"Restaurants, Chinese","beef"
"95","iT9KMTR8NqYwSCW-zMUOxw",1,"Chinese, Taiwanese, Sushi Bars, Restaurants","beef"
"96","jhNV1xO2q1_61REv2YQAtg",3,"Restaurants, Chinese","beef"
"97","kF1Rr2bMPujucUihlitT2g",1,"Sushi Bars, Chinese, Thai, Japanese, Restaurants","beef"
"98","ltqvLrYq9QjeQjQ1NlqLcA",4,"Restaurants, Chinese","beef"
"99","ygpvIw60wGri7cr3CA9Ipw",5,"Kosher, Chinese, Middle Eastern, American (New), Restaurants","beef"
"100","BsLyCu_lkEdkG42qmvZlnQ",4,"Chinese, Pan Asian, Sushi Bars, Restaurants, Asian Fusion","beef"
"101","jtvy90-8KNih9-LanDTiOg",4,"Japanese, Asian Fusion, Chinese, Sushi Bars, Malaysian, Restaurants, Singaporean","beef"
"102","kD1u5HwZpWOH2bAU_W0ARQ",2,"Chinese, Restaurants","beef"
"103","vYRxMRpdUES85ZEpiQwjgg",4,"Restaurants, Chinese","beef"
"104","gTRTzLhbl2uDd_JvB4PsyQ",4,"Chinese, Food, Restaurants","beef"
"105","HzE3NnlAzIcqiHDydpvzrQ",2,"Asian Fusion, Restaurants, Chinese, Gluten-Free","beef"
"106","Z-6QSR2lC-opp9l6HLYG_w",4,"Chinese, Restaurants","beef"
"107","Bfh_ON-LQUcJerjcDF5KNA",1,"Chinese, Restaurants","beef"
"108","RNkVt3T_3DQjXbXTM2DIjg",2,"Seafood, Soup, Chinese, Restaurants","beef"
"109","egxK8E9T6MWLxJyD_iCIVQ",2,"Sushi Bars, Chinese, Restaurants, Asian Fusion","beef"
"110","GKmbGnQ2WmlU7ntVPI4mYA",5,"Restaurants, Chinese","beef"
"111","Lw2vlPixPe72lDp9Cx6GoA",2,"Chinese, Restaurants, Wraps, Chicken Wings","beef"
"112","s4M4QcJvxJ5IY0DQJo-sCA",5,"Chinese, Mongolian, Sandwiches, Restaurants, Soup, Food, Salad, Tea Rooms","beef"
"113","A8jt8v7bixb_DswY2uJQaw",5,"Chinese, Restaurants, Thai","beef"
"114","xONNOYgT5BBJj_EVJBMghQ",4,"Chinese, Restaurants, Sushi Bars","beef"
"115","l_pR3x7v2mvE3luVdmGuoQ",3,"Restaurants, Cantonese, Chinese, Sushi Bars, Dim Sum","beef"
"116","dyaSQBKagPYylOJxsU8CMA",3,"Restaurants, Chinese","beef"
"117","PhNdyQTtZjOQ1bqoT4S3oA",4,"Restaurants, Cantonese, Chinese, Szechuan","beef"
"118","_VYUU5HPLYasd-xdKLimNA",5,"Chinese, Restaurants, Seafood, Chicken Shop","beef"
"119","6_7_aSycZlRsfKENFiIi6g",5,"Restaurants, Chinese","beef"
"120","jTRKHyPmR5RwHVsqmhPTwg",4,"Chinese, Restaurants, Kosher, Halal","beef"
"121","RB0hIe4CjaYp4W0JAxw1yA",2,"Chinese, Restaurants","beef"
"122","Rmdv8qikuGCecgRGVPWMQA",5,"Restaurants, Chinese","beef"
"123","AV72aytrW-z787seJAku2w",3,"Restaurants, Chinese, Sushi Bars, Fast Food, Asian Fusion, Japanese","beef"
"124","xDnkfWCyaUdR6iMoxnuWyg",5,"Restaurants, Shanghainese, Noodles, Chinese, Soup","beef"
"125","JQ4tpUOOwlrZXSyW4Wlyaw",3,"Restaurants, Chinese","beef"
"126","dF-_fcrNyk4iZ5Pc1mr-wA",4,"Chinese, Fast Food, Restaurants","beef"
"127","tVcnGCg8AICT_hoI-4gMsw",4,"Soup, Chinese, Seafood, Restaurants","beef"
"128","keQlXWfz2K7GukqaReVyow",4,"Food, Chinese, Restaurants","beef"
"129","t_SvwKRaMyNHj2NOMvMv1Q",5,"Asian Fusion, Chinese, Restaurants, Japanese, Salad, Food, Sushi Bars, Specialty Food, Ethnic Food","beef"
"130","uoV4aDfXbRmvyHSezdn--w",5,"Chinese, Asian Fusion, Restaurants","beef"
"131","FeigEbRVs3d_WoMVUhIT7g",4,"Sushi Bars, Asian Fusion, Restaurants, Chinese","beef"
"132","5Y-p9QJLrg2P0I8RjJ9TTQ",3,"Restaurants, Chinese","beef"
"133","X4YG1pu1MDVSi07S3i4YCA",5,"Chinese, Restaurants, Burmese","beef"
"134","xMn3YvKFLqpBab0icUou1g",5,"Chinese, Restaurants","beef"
"135","LLGGe9k7NTVy1Z2wH1_Uew",5,"Restaurants, Chinese","beef"
"136","fjE-jiwnTQysz-rLl6YMQg",1,"Chinese, Restaurants","beef"
"137","p2X4WdGMsi26t_6hN3Hz4w",1,"Vietnamese, Soup, Chinese, Asian Fusion, Restaurants","beef"
"138","Lku_keJf44D0LxbRAIZOcg",3,"Food, Chinese, Restaurants","beef"
"139","bD_vqSSU_abcCT0oCzN1xA",2,"Food, Food Trucks, Restaurants, Chinese","beef"
"140","4rSHsXO4ozQoD0hoPCDatQ",1,"Restaurants, Chinese","beef"
"141","gnqHyA6gY2-m9S-FKt6Xqw",5,"Pan Asian, Asian Fusion, Malaysian, Restaurants, Chinese","beef"
"142","sOaeX1zQWuqbPcclvjtdeA",1,"Asian Fusion, Gluten-Free, Restaurants, Chinese","beef"
"143","iH-BDuPiIV1Eag82oqXmAQ",5,"Seafood, Chinese, Restaurants","beef"
"144","QmNrHxN7UahtdliH_kAuUg",3,"Chinese, Cantonese, Restaurants","beef"
"145","HbtpJdgRLQcfn2HhqC7wAA",1,"American (New), Food, Restaurants, Japanese, Chinese","beef"
"146","5rb2tq_AhxQuRYu_bh464g",5,"Restaurants, Chinese, Japanese, Asian Fusion","beef"
"147","6vVkSaymw-4MOTPh68HN3Q",4,"Seafood, Chinese, Restaurants","beef"
"148","jIc8lKpK0S265D18cgQKEw",4,"Chinese, Event Planning & Services, Asian Fusion, Restaurants, Caterers","beef"
"149","ALUqFoEbPIXEwdX7QbyR_Q",4,"Specialty Food, Food, Restaurants, Japanese, Cantonese, Chinese, Ethnic Food","beef"
"150","iiEjVLb4JDLE2xl8YGR-Gw",2,"Chinese, Restaurants","beef"
"151","1Vbt1GsmtQm2dkC4A2L_-g",4,"Restaurants, Himalayan/Nepalese, Asian Fusion, Indian, Chinese","beef"
"152","sAhKuHKCKu9p8gy9vVsXnA",2,"Restaurants, Chinese","beef"
"153","dHJ4PT5C9mr6QPs4o_DaSA",3,"Restaurants, Sushi Bars, Chinese, Japanese","beef"
"154","izzrCdvwa1TT8rBsE7Ch7w",4,"Chinese, Restaurants","beef"
"155","ndq4rJcFLMbMGU_gK5u79Q",1,"Restaurants, Chinese, Japanese, Sushi Bars","beef"
"156","mdNbptkRKH1Jj2iRqBgq_g",5,"Chinese, Restaurants","beef"
"157","AQ76VSVrSPajc2qFZDmzeg",4,"Chinese, Restaurants, Fast Food","beef"
"158","Z5T-muBHTERxj3jFqhiLHw",4,"Chinese, Pan Asian, Restaurants, Sushi Bars","beef"
"159","hMTzciZhfmugG2EVAPANcg",5,"Restaurants, Chinese","beef"
"160","UzW_6PaLFzPjP7_2Czk3Wg",1,"Restaurants, Chinese, Asian Fusion","beef"
"161","CvP516pjOdcJJkaMjl8rPw",1,"Restaurants, Chinese","beef"
"162","php_sWMWyXs7Qi5UyTUrLg",4,"Pan Asian, Asian Fusion, Restaurants, Food, Specialty Food, Ethnic Food, Chinese","beef"
"163","m5t6Ork5uMHRvIlCmP6ULQ",5,"Chinese, Restaurants","beef"
"164","cCBySJPR4i7WFfEt8gjArg",4,"Chinese, Restaurants, Thai","beef"
"165","CQJGl8n0wqL8WSEsG_yqDg",5,"Chinese, Restaurants","beef"
"166","hQMx2ZbGAa_oxJNpnTZf8Q",4,"Diners, Pizza, Restaurants, Breakfast & Brunch, Food, Chinese, Bakeries","beef"
"167","y9_8s2b5ahsF0elT86K4Fw",4,"Chinese, Restaurants","beef"
"168","5E37qENVklkwAMHmIwc_IA",4,"Chinese, Restaurants","beef"
"169","1p5izA5Py5zN7CuNAxPkvw",1,"Chinese, Restaurants","beef"
"170","U6ure4FjwC9lOKmlZw6gTQ",4,"Restaurants, Chinese","beef"
"171","Mge4KiFP09sWeKpbM6J65w",5,"Restaurants, Chinese","beef"
"172","6lgkTtACpJR5Kijkc050KQ",3,"Chinese, Restaurants, Japanese, Sushi Bars","beef"
"173","M7SEPUqtCFtZJ8O8hFGY4A",1,"Fast Food, Chinese, Restaurants","beef"
"174","tHsrPOEx-VY6a6urWWT0Xw",1,"Restaurants, Chinese","beef"
"175","jIujTHt4Mr-ygwpBDGHmFg",4,"Chinese, Restaurants","beef"
"176","rcnjeruxT_-zThMekbMUbA",3,"Fast Food, Chinese, Restaurants","beef"
"177","M-ArbQUROY2OgeSQBBDLmw",2,"Restaurants, Chinese","beef"
"178","VHtYVZN4-85odLn1T6Z_nA",4,"Restaurants, Chinese","beef"
"179","FqOjyZyVpIloRpoipoM1qw",5,"Restaurants, Chinese","beef"
"180","QeJAGJNbaqFuMusPTCoBMA",1,"Asian Fusion, Restaurants, Chinese, Mongolian","beef"
"181","4v_RbefzvGkixXXJkn-bzw",5,"Asian Fusion, Restaurants, Szechuan, Chinese","beef"
"182","UoAPfKoSKJ8B5uXZ2prfeQ",3,"Asian Fusion, Chinese, Restaurants","beef"
"183","swfdlAMXwV8OjYD5nkA6nQ",5,"Chinese, Restaurants, Sushi Bars, Soup","beef"
"184","z3hD4GX5gSJtuqNhN-o2cg",1,"Restaurants, Chinese","beef"
"185","bCa0CY4F74N5lCEVOquKkg",3,"Restaurants, Bars, Food, Sandwiches, Dim Sum, Chinese, Salad, Nightlife, Asian Fusion, Noodles","beef"
"186","VfWX3UCKvUnVktdOuR8TwA",4,"Vegetarian, Vegan, Chinese, Restaurants, Dim Sum","beef"
"187","cxVp-a28Cp7lavjaPMvK5w",4,"Japanese, Asian Fusion, Restaurants, Sushi Bars, Chinese","beef"
"188","a39B-BfbCipNkNH7vwCfug",5,"Chinese, Restaurants, Bars, Noodles, Lounges, Nightlife, Asian Fusion","beef"
"189","BIqsItY0vyOshMpJ0I4cPg",5,"Restaurants, Chinese","beef"
"190","e7M2GgkCfDYTxdPN1LL1sQ",1,"Restaurants, Chinese","beef"
"191","bRy4yyU0XXcOJRX5tGQ_dg",5,"Chinese, Cantonese, Szechuan, Restaurants","beef"
"192","7aZf5c1UNotq4MabBXMZLA",5,"Restaurants, Szechuan, Chinese, Soup, Seafood","beef"
"193","eW6HLU-M3xJOpGyKLrWxUg",2,"Thai, Chinese, Restaurants","beef"
"194","jDehhKtVZa62k32WHbnc2A",5,"Food Delivery Services, Szechuan, Restaurants, Chinese, Food","beef"
"195","DwmAsemahJywywhuqv5J1Q",3,"Szechuan, Chinese, Restaurants","beef"
"196","gvur69cXFtawJnJbNzFuZQ",4,"Thai, Sushi Bars, Chinese, Asian Fusion, Vietnamese, Restaurants","beef"
"197","h0Wmyzb8q0bXbrqmWqVvfQ",4,"Chinese, Restaurants","beef"
"198","vzwTXHLB5iTL2TlW6oVfUQ",4,"Chinese, Restaurants","beef"
"199","7sz9Rw1dbIEfLy-L9qB3Tw",4,"Asian Fusion, Chinese, Restaurants","beef"
"200","mF2EW3twSrFPmT_RVV1-Qg",2,"Chinese, Restaurants","beef"
"201","4XGjbI2Ggi-kdgt9eZR83w",5,"Mongolian, Chinese, Buffets, Restaurants","beef"
"202","QlAPX3c0Vm2dU_w3puIAIw",5,"Restaurants, Hot Pot, Asian Fusion, Chinese","beef"
"203","wNlpUnbCwAsMAu9Z1wc2nw",5,"Restaurants, Asian Fusion, Caterers, Event Planning & Services, Chinese","beef"
"204","2F6dAex41iqsoxjSX4xAZA",5,"Restaurants, Chinese","beef"
"205","fZfoi-VMMcv9Uc4QYgbOHw",5,"Chinese, Restaurants","beef"
"206","5qtc1s-TKdgzPccKwY4SRw",3,"Chinese, Restaurants","beef"
"207","XJo_kPFlbuORqL-mE2Ny6w",2,"Asian Fusion, Restaurants, Chinese","beef"
"208","gyDTYm_NDWXEHBPGnL-oRQ",2,"Comfort Food, Italian, Asian Fusion, Mediterranean, Noodles, Restaurants, Chinese, Specialty Food, American (New), Salad, Pasta Shops, Food","beef"
"209","bLh4ysq5RsbzCNSjqHhwyw",4,"Chinese, Restaurants","beef"
"210","afdthOntL8hfhomIFX-NWg",5,"Diners, Restaurants, Chinese, Sushi Bars","beef"
"211","CbsS6VvPsIvpytUbLAu71Q",3,"Buffets, Restaurants, Chinese","beef"
"212","IpQG7s5l7ba5NxyzTxn7pg",5,"Chinese, Restaurants, Thai","beef"
"213","ve7-f5urgRoFvhoez9eUjA",5,"Bakeries, Food, Thai, Chinese, Restaurants, Cantonese","beef"
"214","yAkaDc6MWX3dy8bnEcCrRQ",3,"Chinese, Restaurants, Asian Fusion, Venues & Event Spaces, Event Planning & Services, Party & Event Planning","beef"
"215","_AKdBFzkl7GY-daxUCCbVA",4,"Chinese, Asian Fusion, Restaurants, Gluten-Free","beef"
"216","XBVp2d7UVJRxc70QcjvKIA",5,"Chinese, Restaurants","beef"
"217","ErGfEO3dZB37kxYjTZUXAA",4,"Restaurants, Chinese, American (New)","beef"
"218","kJtijhRR8fl4QIrj-oxf9g",4,"Chinese, Restaurants","beef"
"219","fZadRslL_7WwgZfVD6DYnw",1,"Restaurants, Chinese","beef"
"220","6tY0tn39Mb8FCLYBAXXOUw",5,"Chinese, Restaurants","beef"
"221","8LUKD_9rkJoUIIuT9uiDbA",5,"Restaurants, Asian Fusion, Chinese, Sushi Bars, Thai","beef"
"222","yGdO0huBvnAhyEX7fZO7og",1,"Restaurants, Chinese","beef"
"223","DtAND35Vc4dY7usrGtbR7w",5,"Chinese, Restaurants","beef"
"224","1ofeAP5vdjnOSeO5S2pzSg",2,"Chinese, Restaurants, Fast Food","beef"
"225","e-finkL51hroOJ0GZ8jcXA",4,"Chinese, Restaurants","beef"
"226","-Is6Ney1wmsJAjvDdkaaaQ",2,"Chinese, Restaurants","beef"
"227","imBVeP4aA-aLTdPD-t8_WQ",4,"Restaurants, Chinese, Asian Fusion","beef"
"228","k0wkhJXCW-AOotS_hRunUg",2,"Restaurants, Chinese","beef"
"229","Ny7Y1Rlhwi5n4LHIpUA21g",1,"Asian Fusion, Chinese, Restaurants","beef"
"230","aURWnSm0BrHhp-0DSXFJww",5,"Chinese, Restaurants","beef"
"231","8C65DwwnazwYB2z9naHyaw",2,"American (New), Fast Food, Chinese, Restaurants, Asian Fusion","beef"
"232","OHuo-yqHdtJMAnkNLyp34g",3,"Restaurants, Chinese","beef"
"233","1qQ5VkxiBUjbGGdpBN-PUQ",4,"Asian Fusion, Chinese, Restaurants","beef"
"234","qd1QvLRMJMPRQIdhyWmhRg",4,"Seafood, Chinese, Restaurants","beef"
"235","bfF90MspMbqLWdcEU9JLcg",4,"Restaurants, Chinese","beef"
"236","v-E_fwn4CesE_rdmxvwvSQ",1,"Chinese, Restaurants, Fast Food","beef"
"237","lQMZ2Rd0jGf1ZpekZpr1MA",3,"Restaurants, Chinese","beef"
"238","USRXU4ASBAFSKhlk-KVrCw",2,"Chinese, Restaurants","beef"
"239","FOIQ49HJ6Y5fPl8QYr34XA",5,"Chinese, Restaurants","beef"
"240","vV1AB2vk-7JqDGyS1v4vvA",4,"Restaurants, Chinese","beef"
"241","zKJ4KcZAfTNBIM7OvkVv3A",2,"Restaurants, Szechuan, Dim Sum, Asian Fusion, Japanese, Chinese","beef"
"242","uno5w5Zkhwn-yFkJgFuYOw",5,"Restaurants, Asian Fusion, Chinese, Thai","beef"
"243","JftoP9r6TT98v83hfY9RZw",3,"Chinese, Restaurants, Food, Vietnamese","beef"
"244","zOHQdGK6D3S0rvyNsrQi0Q",3,"Seafood, Chinese, Restaurants, Buffets","beef"
"245","v_YaNPJbP1XKGG-R_vUZ1Q",4,"Restaurants, Chinese","beef"
"246","mtUscPpaEpOpdBWDGXuNcA",1,"Chinese, Restaurants","beef"
"247","35AWV2l8s2DbBxKbexPU7A",2,"Chinese, Restaurants","beef"
"248","VxwcmqZ56tzPr7ZbLxlhTw",5,"Soup, Seafood, Restaurants, Chinese","beef"
"249","ui4fyPJ_HRm4HPkEmIHQOA",1,"Restaurants, Chinese","beef"
"250","WdtmkT5lWzW167T3rBxKsw",5,"Restaurants, Chinese","beef"
"251","fjRVqTl82Sql3GarA_QzIg",5,"Restaurants, Food, Desserts, American (Traditional), Salad, Chinese, Mexican, Sandwiches, Tacos, Korean","beef"
"252","TTVXY5vOJDqC0_Je8UhK8A",5,"Restaurants, Chinese","beef"
"253","loXkZgAd70KMjP8ISCnZPQ",4,"Chinese, Restaurants","beef"
"254","-_DxZ8gKU50sfuZEu4ypKg",2,"Chinese, Vietnamese, Thai, Restaurants","beef"
"255","VKNwgZGroTNHcPqgRtmcpA",2,"Restaurants, Asian Fusion, Chinese, Gluten-Free","beef"
"256","i55cm4i5C7fSCVONIQ8DRg",4,"Restaurants, Chinese","beef"
"257","oaTbZh8B-IVFEwbzJcIOBg",4,"Restaurants, Japanese, Chinese, Asian Fusion, Sushi Bars","beef"
"258","7U73RqIg6JA0WThxWUV3uA",4,"Restaurants, Sushi Bars, Asian Fusion, Szechuan, Chinese, Nightlife, Bars, American (Traditional)","beef"
"259","D0KX5BQsbaIcWd-TpQ4wLg",5,"Korean, Chinese, Thai, Restaurants","beef"
"260","vsoEZauF4lrADIqCYXySFQ",1,"Chinese, Restaurants","beef"
"261","GeZiOW34ZL6jC9g-mq9QvA",2,"Restaurants, Chinese","beef"
"262","AR1w3ragHgRvnU71A7aaZA",4,"Restaurants, Chinese, Asian Fusion","beef"
"263","f2FfutZhb4F-m1Ob0EdYaw",4,"Restaurants, Asian Fusion, Food, Food Delivery Services, Event Planning & Services, Caterers, Fast Food, Vegetarian, Chinese","beef"
"264","DA3Dzic8NAJ0LYnYZG9nyQ",3,"Chinese, Restaurants","beef"
"265","4Wnj4lg3vtcZMaibE54pmQ",5,"Chinese, Restaurants, Food","beef"
"266","pRfIJ6zurjEsWmJheDOP6A",5,"Restaurants, Chinese, Japanese","beef"
"267","DCab_cz7nDDW-IPsnKGb_A",5,"Food, Chinese, Food Delivery Services, Restaurants","beef"
