"business_id","stars","RestaurantsAttire","RestaurantsTakeOut","BusinessAcceptsCreditCards","NoiseLevel","GoodForKids","RestaurantsReservations","RestaurantsGoodForGroups","RestaurantsPriceRange2","HasTV","Alcohol","BikeParking","RestaurantsDelivery","ByAppointmentOnly","OutdoorSeating","Caters","WheelchairAccessible","WiFi","BYOB","Corkage","RestaurantsTableService","BusinessAcceptsBitcoin","HappyHour","DogsAllowed","CoatCheck","Music","BestNights","HairSpecializesIn","AcceptsInsurance","BYOBCorkage","DriveThru","GoodForDancing","Smoking","AgesAllowed","DietaryRestrictions","RestaurantsCounterService","Open24Hours"
"G4JLnk8TkeAhZ71V4Pof8A",3,"'casual'","True","True","'average'","True","False",NA,"2","True","'none'",NA,"True",NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"izOvku5li7kyzY76UzLP2g",2,"'casual'","True","True",NA,"True",NA,NA,"1",NA,NA,NA,"True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gxvSB3hEIW2EfTtUu77rZg",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVpwpXneaCWMeEBF7H8jpQ",4,"'casual'","True","True","'average'","True","False","True","2","False","'none'","True","True",NA,"False","True",NA,"'free'",NA,NA,"False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2cetuQgbP1Bnzm-uMRlocQ",3.5,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","True",NA,"False","True",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2lXYidovGbSa56cd07oHlg",3,"'casual'","True","True","'quiet'","False","False","False","1","True","'none'","True","True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mv-jYCNbl37aZ7gVZu8vaw",2.5,"'casual'","True","True","'quiet'","True","False","False","2","True","'beer_and_wine'",NA,"True",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mqiHZYNXnMLaEK87JZOzmA",3,"'casual'","True","True","'quiet'","True","False","True","1","False","'none'","True","True",NA,"False","True",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OyBStpjF5e_iRCMXflFasQ",2.5,"'casual'","True","True","'average'","True","True","True","2","True","'none'","True","True",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"riXr33UJRQXVMKJcNZPqqw",1.5,"'casual'","True","True","'quiet'","True","False","False","1","True","'none'","False","True",NA,"False","True",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8ZL4ed3Y8_F6AgPAYxgi2g",3.5,"'casual'","True","True","'average'","True","True","True","1","True","'none'","True","True",NA,"False","True",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"y3vpN6sfipzEpn9Tt5wuog",3,"'casual'","True","True","'average'","True","False","True","1","True","'none'","True","True",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gz87Wa7QUZ3gNlgE9NVPAA",3,"'casual'","True","False","'average'","True","False","True","1","True","'none'",NA,NA,NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asCPMMAA1wW3GJvrPA4fTA",3,"'casual'","True","True","'quiet'","True","True","True","2","False","'none'",NA,"True",NA,"False","True",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jjBTBObnHrY87qQIMybjzQ",3.5,"'casual'","True","True","'quiet'","True","True","True","1","True","'none'","True","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vGCAzbPIcZNkqNkKBbh4Ow",3,NA,"True","True",NA,NA,"True",NA,NA,"True","'none'",NA,"True",NA,"False","True","True","'free'",NA,NA,"True",NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sCLXU9ehXMNsodcZqXKNZA",3,"'casual'","True","True","'average'","True","True","True","1","True","'none'","True","False",NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WTluJrwTxVxZkXovV6cnnQ",3,NA,"True",NA,NA,NA,NA,NA,NA,"True",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGJb8zZPlAfRzj9rg2KwqQ",3,"'casual'","True","True","'average'","True","False","True","1","False","'beer_and_wine'","False","False",NA,"False","False",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MFbTdZe4Aby_0UbWWsfl6Q",4,"'casual'","True","True","'average'","True","False","True","1","True","'none'","True","True",NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aHVhlCvmlNnnPf-LgclNNA",3,"'casual'","True","True","'quiet'","True","True","True","2","False","'full_bar'","False","False",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3e0IGa_-zqTemKLc1dbdmg",4,"'casual'","True","True","'quiet'","True","True","True","1","False","'none'","True","True",NA,"True","True","False","'no'",NA,NA,"True","False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qAzOcHnWerREl678su-p0A",2.5,"'casual'","True","True","'average'","True","False","True","2","False","'none'","True","True",NA,"False",NA,"True","'no'",NA,NA,"True","False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uKyyrg9nwitkBqaHvR72tA",2,"'casual'","True","True","'average'","True","True","True","2",NA,"'full_bar'",NA,"False",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8AAQha5aPcqR4ml_U6ZOlg",2.5,"'casual'","True","True",NA,"True","False","False","2","True","'none'",NA,"True",NA,"False",NA,NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UPSzbM6D2SkarWAINq1I9A",4,"'casual'","True","True","'quiet'","True","False","True","1","True","'none'","True","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uNMQV-r1nO5dfGSGnVTFUA",3,NA,"True","True",NA,NA,NA,NA,"1",NA,NA,NA,"True",NA,NA,NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pW-fOxuaWBkIhum5NANx2w",3,"'casual'","True","True","'quiet'","True",NA,"True","1","False","'none'",NA,"True",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-XH3-e3jDVdjHJq7GfNY7w",3.5,"'casual'","True","True","'average'","True","False","False","1","True","'none'","True",NA,NA,"True",NA,NA,"'no'",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XhMfL-6lt-prYyC9Lp02gg",4,"'casual'","True","True","'quiet'","False","False","False","1","True","'none'","False","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xqVeSoyuWsKhQpWZjwiYSA",1.5,NA,"True",NA,NA,"True","False","False",NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2eZD_MP8Ds32rkoVI_MBQ",3.5,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q3zZTpHQBSbiPq2lLaTtgw",4,"'casual'","True","True","'quiet'","True","True","True","2","True",NA,"False","False",NA,"False",NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEqM8xXhKumU5AfhmsiD8w",4,"'casual'","True","True","'quiet'","True","True","True","2","True","'full_bar'","False","True",NA,"False",NA,NA,"'free'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t_yiQnxUDdPPCN2z4QyezA",4.5,"'casual'","True","True","'average'","True","True","True","2","False","'none'","True","False",NA,"False","True",NA,"'no'",NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EVkytEhlC1nswqmgrHdviw",2.5,"'casual'","True","True","'average'","True","False","True","1","True","'none'","False","True",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hEUAUdG4fBdYWvPeEASnng",2.5,"'casual'","True","True","'average'","True","True","True","2","False",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dRT7tLyakasIjJ4B0Fm92Q",3,"'casual'","True","True",NA,"False","False","False","1","True","'none'",NA,"True",NA,NA,NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qhuuWs1eshxEHhTSfGV2rg",4,"'casual'","True","True","'average'","True","True","True","2","True","'none'",NA,"True",NA,"False","True",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ui33pIJmkW0s8HddH_ZZ9A",4,"'casual'","True","True","'quiet'","True","False","False","1","True","'none'","False","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ceuvH6NpDhpT1p4q1w93pA",3.5,"'casual'","True","True","'quiet'","True","True","True","2","True","'beer_and_wine'","True","True","False","False","True","True","'free'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VGxJbglGlx-a7Gdc55Q6jQ",3,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","True",NA,"False","True",NA,"'free'",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1MrJJ9tyNyfFrxaNZ67xFg",4,"'casual'","True","True","'quiet'","True","True","True","2","True","'full_bar'","True","True","False","False","False",NA,"'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GeeR1ScER2WpFoJs1sTjsA",2.5,"'casual'","True","True","'average'","True","False","True","1","True","'none'","True","False",NA,"True",NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA
"Ks7EuyQVI2JEif4Xp70MmA",3,"'casual'","True","True","'average'","True","False","False","1","False","'none'","True","True",NA,"False",NA,NA,"'no'",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QiZCMGZEwVtg1ybOKybLhQ",2,"'casual'","True","True","'quiet'","True",NA,"True","2","True","'none'",NA,"True",NA,"False","True",NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rf8x3ZTUwzmRUyJgoIZllQ",3,"'casual'","True","True",NA,"False","False","False","1",NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w4MypAX8UIaJq-mhCZBq2A",3.5,"'casual'","True","True","'quiet'","True","True","True","1","True","'full_bar'",NA,"False",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PXKjfPxjJSykV3vN8GAoBQ",4,"'casual'","True","True","'quiet'","True","False","True","1","True","'none'","False","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3Esl4FVI9Rzl_KSmIiMgaw",3.5,"'casual'","True","True","'quiet'","False","False","False","1","True","'none'","False","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lWk3vNrOIFTbUwEZBkY2wg",3.5,"'casual'","True","True","'quiet'","False","False","False","2","True","'none'","True","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jDZJsIyc3jXjcTtJk_p8ZA",3,"'casual'","True","True","'average'","True","False","True","1","True","'none'","True",NA,NA,"False","False",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA
"vVdY2qDO7dkUrU8LXYZ1uA",4,"'casual'","True","True","'average'","True","False","False","1","True","'none'",NA,"False",NA,"False","True",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z9lOfnUorcbWR_xS0DSeHw",3.5,"'casual'","True","True","'average'","True","True","True","2","True","'beer_and_wine'","True","True",NA,"False","True","True","'free'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sfd19Wo_7g2TwaoJmA9B8A",3,"'casual'","True","True","'quiet'","True","True","True","2","True","'full_bar'","True","True",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zRBDq7hLQevQXeZAGRkRCA",3.5,NA,NA,"True",NA,NA,NA,"True",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IJGce25T9M_xv9wG2F0Odg",4,NA,"True",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QI0PGXbGkIdInOOBeq6ieQ",3,"'casual'","True","True","'quiet'","True","False","True","1","True","'full_bar'","False","False",NA,"False",NA,NA,"'no'",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ba2xyZXG8hRb3hh7uDZs_g",3,"'casual'","True","True","'average'","True","False","True","2","True","'none'","False","False",NA,"False",NA,NA,"'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w65C613GYsoSzk9HGY3Y8w",3.5,"'casual'","True","True","'quiet'","True",NA,"True","1","True","'none'",NA,"False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hcFSc0OHgZJybnjQBrL_8Q",4,"'casual'","True","True","'average'","True","False","True","2","True","'none'","True","True",NA,"False","False",NA,"'no'",NA,NA,"True",NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eZaaYA5X3BmMTPWsOBvq8g",3.5,"'casual'","True","True","'average'","True","True","True","2","False","'full_bar'","True","True",NA,"False","True","False","'free'","True","False","True","False",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8cjXEmuqgCbIRudb2D52qw",3.5,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","True",NA,"False","True",NA,"'no'",NA,NA,"True",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZzRtq0HQKwbBaJJi-Xpnw",3,"'casual'","True","True",NA,"True","False","True","1","True",NA,"True","True",NA,"False",NA,NA,"'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P3dBcZh_Hmr1wVWFZn2b-g",3.5,"'casual'","True","True","'quiet'","True","False","True","2","True","'none'","True","True",NA,"False",NA,NA,"'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1SJiW_mW6IlEe7hqMTnjYg",4,"'casual'","True","True","'quiet'","True","False","True","1","True","'none'","True","False",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s4M4QcJvxJ5IY0DQJo-sCA",5,"'casual'","True","True","'quiet'","False","True",NA,"2","False","'none'","True","False",NA,"True",NA,NA,"'free'",NA,NA,"True","False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZWbJlxV7sdxBBgyw_-4vVg",5,"'casual'","True","True",NA,"True",NA,"True","2",NA,"'none'",NA,"True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JJi7c7uiTzCqeWNTsldgXQ",4,"'casual'","True","True","'average'","True","True","True","2","True","'none'","False","True",NA,"False","True",NA,"'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ygpvIw60wGri7cr3CA9Ipw",4,"'casual'","True","True","'average'","True","True","True","1","False","'none'","False","False",NA,"False","True",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltqvLrYq9QjeQjQ1NlqLcA",3,"'casual'","True","True","'quiet'","True","False","False","1","True","'none'","False","True",NA,"False","False",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPIX1wTOll0aZT08Wr6sDw",3.5,"'casual'","True","True","'quiet'","True","False","False","1","True","'none'","False","True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rQ6C54q1N2iq9iDKSA3QGA",3.5,"'casual'","True","True","'quiet'","True","True","True","2","True","'full_bar'","False","True",NA,"True","True",NA,"'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eab04KSBbf30FqB4cH8erQ",3.5,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","True",NA,"True","True","True","'no'",NA,NA,"True","False","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egxK8E9T6MWLxJyD_iCIVQ",3,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","True",NA,"True","False",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jhNV1xO2q1_61REv2YQAtg",3.5,"'casual'","True","True","'average'","True","False","True","1","False","'none'",NA,NA,NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-R_dMb9Z1eBv_FlYZrrKbw",2.5,"'casual'","True","True",NA,"True",NA,"True","1",NA,NA,NA,"True",NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AV72aytrW-z787seJAku2w",4,"'casual'","True","True","'average'","True","False","False","1","True","'none'","False","True",NA,"False","True","True","'free'",NA,NA,"False","True","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KzLjbXEDH1e1WrfzrrzZKw",3,"'casual'","True","True","'average'","True","True","True","2","True","'none'","False","False",NA,"False","True",NA,"'no'",NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jTRKHyPmR5RwHVsqmhPTwg",4,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E4HlcOykIxIDiJyUKO-eIg",2.5,"'casual'","True","True",NA,"True","False","False","1","True",NA,"True","True",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lw2vlPixPe72lDp9Cx6GoA",4,"'casual'","True","True","'quiet'","True","True","False","1","True","'none'",NA,"True",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB0hIe4CjaYp4W0JAxw1yA",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cGuUEFw374zfpr3Cp8ywJw",2,"'casual'","True","True",NA,"False",NA,NA,"2",NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dazGlP4Rk4nxlyMtlvkpvA",2.5,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","True",NA,"False","True",NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6dARuOrrOXd4xSiTHti8g",3.5,"'casual'","True","True","'average'","True","True","True","2","True","'none'","True","True",NA,"False","False","True","'no'",NA,NA,"True",NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xXGRRmCIf6t6Bn-NvxHYwA",3.5,"'casual'","True","True","'quiet'","True","False","True","2","True","'beer_and_wine'","True","True",NA,"False",NA,NA,"'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rXKzE4Iraz7vGWovWW-aBA",4,"'casual'","True","True","'average'","True","True","True","2","True","'full_bar'","True","False","False","False","True","True","'no'",NA,NA,"True","False","True","False","True","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",NA,NA,NA,NA,"False","'no'",NA,NA,NA,NA
"l_pR3x7v2mvE3luVdmGuoQ",3,"'casual'","True","True","'average'","True","True","True","2","False","'full_bar'","False","False",NA,"False","False",NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
